checkpoint_id,selection_bin,draw,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,sample_sequence_ess,raw_gradient_squared_error,ppo_gradient_squared_error,formula_prefers_ppo,fitted_ess_prefers_ppo,effective_count_prefers_ppo,fixed_ess_prefers_ppo
2.0,1.0,27.0,4.0,512.0,4.0801509632285453e-05,0.0548089085691476,0.06780361570774257,0.0644655532896882,1.0,1.0,1.0,1.0
2.0,1.0,27.0,8.0,1024.0,4.0801509632285453e-05,0.036119489976907,0.023460816535061105,0.016289740023373314,1.0,0.0,1.0,1.0
2.0,1.0,28.0,1.0,128.0,4.0801509632285453e-05,0.05521416148920425,0.002406735001270059,0.0021945942447939293,1.0,1.0,1.0,1.0
2.0,1.0,28.0,2.0,256.0,4.0801509632285453e-05,0.054016667825074874,0.002193530538379583,0.0019082850085035343,1.0,1.0,1.0,1.0
2.0,1.0,28.0,4.0,512.0,4.0801509632285453e-05,0.0066012497539824355,0.0036414349210985124,0.0027652337925655034,1.0,1.0,1.0,1.0
2.0,1.0,28.0,8.0,1024.0,4.0801509632285453e-05,0.008894757661115206,0.008644003376455645,0.007176640522869782,1.0,0.0,1.0,1.0
2.0,1.0,29.0,1.0,128.0,4.0801509632285453e-05,0.04981286673341058,0.01676900501860095,0.014446200203319163,1.0,1.0,1.0,1.0
2.0,1.0,29.0,2.0,256.0,4.0801509632285453e-05,0.057308665151050014,0.004244873868550478,0.004297635014076911,1.0,1.0,1.0,1.0
2.0,1.0,29.0,4.0,512.0,4.0801509632285453e-05,0.06175283581193804,0.0019976819646880042,0.0024463224395299167,1.0,1.0,1.0,1.0
2.0,1.0,29.0,8.0,1024.0,4.0801509632285453e-05,0.05013438332510561,0.0013054834928479995,0.0013529479514562646,1.0,0.0,1.0,1.0
2.0,1.0,30.0,1.0,128.0,4.0801509632285453e-05,0.08146492979105821,0.07163453445656001,0.061935813840890946,1.0,1.0,1.0,1.0
2.0,1.0,30.0,2.0,256.0,4.0801509632285453e-05,0.06843861447757871,0.01734320982895638,0.01469735028817288,1.0,1.0,1.0,1.0
2.0,1.0,30.0,4.0,512.0,4.0801509632285453e-05,0.06164721369720926,0.03503397236476814,0.026030661782563372,1.0,1.0,1.0,1.0
