batch_size,path_scale,population_rho,population_value,signal_sq,raw_mse,ppo_mse,raw_relative_risk,ppo_relative_risk,raw_certificate,ppo_certificate,raw_certified,ppo_certified,ppo_only_certified
320,1.5250000000000001,0.2950911871324884,0.910239695176485,5.6411407592674814e-05,0.002154859032821941,0.00019978867799679147,38.19899422438372,3.541636107352418,-0.00017836804814448765,-1.2187067984349917e-05,0.0,0.0,0.0
320,1.5375,0.2945844288367821,0.9109566445968399,5.505511072762127e-05,0.0021375234201818313,0.00019666128487487957,38.8251588623076,3.5720804531270183,-0.00017700980630360786,-1.2036524802516956e-05,0.0,0.0,0.0
320,1.55,0.2940890857668964,0.9116571288397554,5.3792700102174695e-05,0.002120480877764051,0.00019332706162556292,39.41949137590001,3.5939274522073528,-0.0001756684951012595,-1.1860420729488e-05,0.0,0.0,0.0
320,1.5625,0.29360480673360634,0.9123416233609869,5.261825516758808e-05,0.0021037237884848343,0.00019037820629485167,39.980873211863766,3.618101848655014,-0.00017434397033196596,-1.1709595845817406e-05,0.0,0.0,0.0
320,1.5750000000000002,0.29313125373242815,0.9130105877402573,5.1526220880620856e-05,0.0020872447953724583,0.0001876046350220361,40.50840057159085,3.640954679301829,-0.0001730360788318062,-1.1566665202020299e-05,0.0,0.0,0.0
320,1.5875000000000001,0.2926681013717774,0.9136644662595194,5.051138462650579e-05,0.0020710367913048776,0.00018504710819925054,41.00138625418127,3.6634732856273216,-0.00017174465956766162,-1.1435536503683303e-05,0.0,0.0,0.0
320,1.6,0.2922150363289364,0.9143036884594661,4.9568854654627e-05,0.0020550929091650554,0.00018262534033127795,41.459358370977064,3.684275975382675,-0.00017046954463338643,-1.1309801282515333e-05,0.0,0.0,0.0
320,1.6125,0.291771756832339,0.9149286696750675,4.869403992389633e-05,0.0020394065123989077,0.00018242845634990724,41.88205611171893,3.7464226963920795,-0.00016921056016037597,-1.1367425396210927e-05,0.0,0.0,0.0
320,1.625,0.2913379721687769,0.9155398115508903,4.788263126203002e-05,0.0020239711859610155,0.00018165775346132474,42.26942280772244,3.793813094088999,-0.0001679675271494138,-1.1370885386940052e-05,0.0,0.0,0.0
320,1.6375000000000002,0.2909134022142024,0.9161375025369386,4.7130583749637907e-05,0.00200878072763354,0.00017919523893101912,42.621596590111686,3.8021009856979724,-0.0001667402622301317,-1.1225495690417403e-05,0.0,0.0,0.0
320,1.6500000000000001,0.2904977769868871,0.916722118365733,4.643410024628181e-05,0.0019938291397040954,0.00017687444035827696,42.93889898003893,3.8091497287586638,-0.00016552857835391415,-1.1087428909519589e-05,0.0,0.0,0.0
320,1.6625,0.2900908362217594,0.9172940225113179,4.578961598144186e-05,0.001979110620988632,0.000174565670238275,43.22182177266455,3.812341870458686,-0.00016433228542561118,-1.0945964611830815e-05,0.0,0.0,0.0
320,1.675,0.289692328964818,0.9178535666308724,4.5193784138716563e-05,0.0019646195591857965,0.0001723769549231981,43.47101258782949,3.8141739668028016,-0.0001631511908790018,-1.0810569516680931e-05,0.0,0.0,0.0
320,1.6875,0.28930201318657517,0.9184010909895759,4.464346236657972e-05,0.0019503505235495572,0.00017037444541763438,43.68725945883619,3.8163358392465856,-0.0001619851002005531,-1.0687133559339647e-05,0.0,0.0,0.0
320,1.7000000000000002,0.28891965541354636,0.9189369248693581,4.4135700153657535e-05,0.0019362982578673116,0.00016843673513135786,43.87147481803005,3.816337670977209,-0.0001608338174056606,-1.0565587973104527e-05,0.0,0.0,0.0
320,1.7125000000000001,0.2885450303768563,0.9194613869621411,4.366772701079939e-05,0.001922457673731056,0.00016657177848521847,44.024679215742474,3.8145282543335473,-0.0001596971454712218,-1.0446844375325623e-05,0.0,0.0,0.0
320,1.725,0.28817792067708453,0.9199747857481653,4.323694140621964e-05,0.0019088238440896227,0.0001683174384320388,44.147985079606904,3.8929080771616817,-0.0001585748867280893,-1.063184224719463e-05,0.0,0.0,0.0
