replication,method,threshold,final_value,ppo_fraction
75.0,raw,nan,0.5619318013486168,0.0
75.0,ppo,nan,0.5259180407766058,1.0
75.0,mse_oracle,nan,0.43604207747637835,0.8125
76.0,raw,nan,0.590081344971313,0.0
76.0,ppo,nan,0.5483277110273511,1.0
76.0,mse_oracle,nan,0.5579775294181124,0.625
77.0,raw,nan,0.5938317738328084,0.0
77.0,ppo,nan,0.5837506959085473,1.0
77.0,mse_oracle,nan,0.5814566223642245,0.625
78.0,raw,nan,0.5399449722364852,0.0
78.0,ppo,nan,0.5705537504486784,1.0
78.0,mse_oracle,nan,0.5874454812750005,0.5625
79.0,raw,nan,0.5660437439928887,0.0
79.0,ppo,nan,0.5634758142333127,1.0
79.0,mse_oracle,nan,0.560877076747661,0.5625
80.0,raw,nan,0.5524113445575463,0.0
80.0,ppo,nan,0.5691469007096642,1.0
80.0,mse_oracle,nan,0.5970996734915501,0.5625
81.0,raw,nan,0.1513365334717886,0.0
81.0,ppo,nan,0.5382301175442177,1.0
81.0,mse_oracle,nan,0.5839977391357118,0.8125
82.0,raw,nan,0.5995624593635969,0.0
82.0,ppo,nan,0.5577025597262285,1.0
82.0,mse_oracle,nan,0.5510293181793943,0.6875
83.0,raw,nan,0.5931612760602273,0.0
83.0,ppo,nan,0.5870304737712956,1.0
83.0,mse_oracle,nan,0.6057911695085645,0.625
84.0,raw,nan,0.5453889512550228,0.0
84.0,ppo,nan,0.5805741075829759,1.0
84.0,mse_oracle,nan,0.5914556001213004,0.5
85.0,raw,nan,0.5458458277374911,0.0
85.0,ppo,nan,0.5763676698161148,1.0
85.0,mse_oracle,nan,0.5901120937430386,0.6875
86.0,raw,nan,0.11598756923924883,0.0
86.0,ppo,nan,0.5823607158102988,1.0
86.0,mse_oracle,nan,0.5720579062292461,0.5625
87.0,raw,nan,0.5367536830934058,0.0
87.0,ppo,nan,0.47934388147563556,1.0
87.0,mse_oracle,nan,0.5632742753010069,0.5
88.0,raw,nan,0.49134832157549735,0.0
88.0,ppo,nan,0.5749264656650622,1.0
88.0,mse_oracle,nan,0.5597362539098699,0.75
89.0,raw,nan,0.28700195513832416,0.0
89.0,ppo,nan,0.582635476896511,1.0
