delta,rho,is_mean,tis_mean,ppo_mean,is_tilted_second_moment_M2,is_single_second_moment,tis_single_second_moment,ppo_single_second_moment,is_variance,is_second_moment,is_mse,is_certificate,is_expected_gain,tis_variance,tis_second_moment,tis_mse,tis_certificate,tis_expected_gain,ppo_variance,ppo_second_moment,ppo_mse,ppo_certificate,ppo_expected_gain,is_finite_moment_mse_bound,is_finite_moment_error_radius,tis_mse_reduction_vs_is,tis_second_moment_reduction_vs_is,tis_discounted_second_moment_reduction_vs_is,tis_crossover_margin,tis_certificate_gap_vs_is,tis_certificate_identity_error,tis_alignment_loss_vs_is,tis_smoothness_penalty_reduction_vs_is,ppo_mse_reduction_vs_is,ppo_second_moment_reduction_vs_is,ppo_discounted_second_moment_reduction_vs_is,ppo_crossover_margin,ppo_certificate_gap_vs_is,ppo_certificate_identity_error,ppo_alignment_loss_vs_is,ppo_smoothness_penalty_reduction_vs_is,oracle_expected_gain,oracle_rule,mc_error_event_coverage,mc_theorem_inequality_coverage,mc_positive_certificate_fraction,mc_error_event_theorem_violations
2.156199842358486,0.00956927570598307,2.0,1.2218032847067257,0.25708832237235313,22.026836834615587,2301.8290528345406,2.1453253292969974,97.3367377319846,71.80715790107939,75.80715790107939,71.80715790107939,-4.464572632086352,-4.464572632086352,0.02039131446177666,1.513194580981921,0.625981442155018,0.856387061286827,0.856387061286827,3.0397076039526363,3.105802009452867,6.077448719963455,-0.042793502858346905,-0.042793502858346905,71.93215790107939,26.82017112195211,71.18117645892437,74.29396332009748,44.57637799205848,26.604798466865887,5.320959693373179,8.881784197001252e-16,1.5563934305865486,14.858792664019496,65.72970918111594,72.70135589162652,43.62081353497591,22.108895646140027,4.421779129228005,-8.881784197001252e-16,3.4858233552552935,14.540271178325305,0.856387061286827,TIS 3,0.99563,0.99563,0.00477,0.0
2.1410945330719597,0.010211039913428097,2.0,1.2233351665972003,0.253002755616099,21.882033429399236,2142.977954735357,2.133190473934164,86.96862027072822,66.8430610854799,70.8430610854799,66.8430610854799,-4.067444886838393,-4.067444886838393,0.019895048253148875,1.5164439780865486,0.6231033116977475,0.8573526150308364,0.8573526150308364,2.71576905863684,2.7797794529861797,5.767768430521784,-0.019980151746015223,-0.019980151746015223,66.96806108547989,25.878187936074635,66.21995777378216,69.32661710739336,41.59597026443601,24.623987509346144,4.92479750186923,8.881784197001252e-16,1.5533296668055994,13.865323421478672,61.07529265495812,68.06328163249373,40.83796897949623,20.237323675461887,4.047464735092378,0.0,3.493994488767802,13.612656326498746,0.8573526150308364,TIS 3,0.9953,0.9953,0.00506,0.0
2.125881896746502,0.010895844086552045,2.0,1.2248910663684307,0.24892040185222605,21.735647177070888,1994.8566631838676,2.1218815953537393,77.66799517529581,62.21427072449586,66.21427072449586,62.21427072449586,-3.6971416579596696,-3.6971416579596696,0.019422608465142127,1.5197807329343334,0.6202164674606105,0.8583303944599979,0.8583303944599979,2.425188556526173,2.4871499229844467,5.491468315575543,0.00016432764302506953,0.00016432764302506953,62.33927072449586,24.96783345116189,61.59405425703525,64.69448999156153,38.81669399493691,22.77736026209834,4.555472052419668,-8.881784197001252e-16,1.5502178672631386,12.938897998312306,56.722802408920316,63.72712080151142,38.23627248090685,18.486529928013468,3.6973059856026946,8.881784197001252e-16,3.502159196295548,12.745424160302285,0.8583303944599979,TIS 3,0.99526,0.99526,0.00526,0.0
2.110559612585813,0.01162657470394651,2.0,1.2264745673326194,0.24484173818684368,21.587614136920223,1856.7475534812975,2.111423097984244,69.32847853199488,57.898361046290546,61.898361046290546,57.898361046290546,-3.351868883703245,-3.351868883703245,0.018974476052203378,1.5232143403659395,0.6173160710354617,0.8593225066368203,0.8593225066368203,2.1646415954761413,2.224589072234496,5.245222119487121,0.01790626477071522,0.01790626477071522,58.023361046290546,24.088038742556552,57.281044975255085,60.37514670592461,36.22508802355476,21.055956951700324,4.2111913903400655,8.881784197001252e-16,1.5470508653347612,12.075029341184923,52.65313892680342,59.67377197405605,35.80426318443363,16.848875742369792,3.36977514847396,1.3322676295501878e-15,3.5103165236263125,11.934754394811211,0.8593225066368203,TIS 3,0.99499,0.99499,0.00554,0.0
2.095125274928029,0.01240631182611068,2.0,1.228089465915977,0.24076725393644072,21.437871729067965,1727.9810494484916,2.1018406199058908,61.85396841879273,53.87440779526536,57.87440779526536,53.87440779526536,-3.0299526236212295,-3.0299526236212295,0.018551152612878166,1.5267548889066676,0.61439702524276,0.8603311816202481,0.8603311816202481,1.9311249858820199,1.9890938564501144,5.026024840704352,0.0334862946331434,0.0334862946331434,53.99940779526536,23.237772654724324,53.2600107700226,56.3476529063587,33.808591743815214,19.45141902620739,3.8902838052414777,-4.440892098500626e-16,1.5438210681680462,11.26953058127174,48.84838295456101,55.88531393881525,33.53118836328915,15.317194591271864,3.063438918254373,0.0,3.5184654921271186,11.17706278776305,0.8603311816202481,TIS 3,0.99497,0.99497,0.00571,0.0
2.0795763888364673,0.013238342078036832,2.0,1.2297397837119353,0.23669745100207745,21.286358763763197,1607.9323708577137,2.0931611381853505,55.15767895875387,50.122886589303555,54.122886589303555,50.122886589303555,-2.729830927144285,-2.729830927144285,0.01815316257942104,1.5304130982232984,0.6114539633755572,0.8613587791116843,0.8613587791116843,1.7219266648575935,1.7779523481684743,4.831162544160165,0.04712177294818401,0.04712177294818401,50.247886589303555,22.416040370525646,49.511432625927995,52.592473491080256,31.55548409464815,17.955948531279844,3.5911897062559692,0.0,1.5405204325761295,10.518494698216053,45.29172404514339,52.34493424113508,31.406960544681045,13.884763500462345,2.776952700092469,0.0,3.526605097995845,10.468986848227017,0.8613587791116843,TIS 3,0.99473,0.99473,0.00602,0.0
2.0639103653913837,0.01412617250247383,2.0,1.2314297803049592,0.23263284426220712,21.13301547269218,1496.018505295138,2.08541308394509,49.161262785548224,46.625578290473065,50.625578290473065,46.625578290473065,-2.4500462632378457,-2.4500462632378457,0.01778105562884906,1.5342003594507692,0.6084812382309323,0.8624077954879058,0.8624077954879058,1.5345982732912093,1.5887163135207336,4.658184936471905,0.05900897032810701,0.05900897032810701,46.750578290473065,21.621882038914435,46.017097052242136,49.09137793102229,29.454826758613375,16.56227029362876,3.3124540587257516,-4.440892098500626e-16,1.5371404393900816,9.818275586204459,41.96739335400116,49.03686197695233,29.4221171861714,12.545276167829762,2.509055233565953,4.440892098500626e-16,3.5347343114755856,9.807372395390466,0.8624077954879058,TIS 3,0.9944,0.9944,0.00634,0.0
2.048124516657585,0.015073545342260837,2.0,1.2331639669224959,0.22857396198556973,20.97778354250621,1391.695388588642,2.0786264681682685,43.79401401956978,43.36548089339506,47.36548089339506,43.36548089339506,-2.1892384714716053,-2.1892384714716053,0.01743540933913256,1.538128778655159,0.6054729109651756,0.8634808712455839,0.8634808712455839,1.3669302488585,1.4191763049562807,4.504880457014002,0.06932506519195332,0.06932506519195332,43.49048089339506,20.85437145861631,42.76000798242988,45.8273521147399,27.49641126884394,15.263596713585944,3.0527193427171895,4.440892098500626e-16,1.5336720661550083,9.165470422947982,38.860600436381056,45.94630458843878,27.567782753063266,11.29281768331779,2.2585635366635586,4.440892098500626e-16,3.5428520760288604,9.189260917687756,0.8634808712455839,TIS 3,0.99478,0.99478,0.00603,0.0
2.0322160503001987,0.016084453814039376,2.0,1.2349471209770684,0.22452134626577097,20.82060615079864,1294.4552790860262,2.0728330192702207,38.99214454411503,40.32672747143832,44.32672747143832,40.32672747143832,-1.946138197715066,-1.946138197715066,0.017116832114395956,1.542211223723946,0.6024227398156724,0.8645807988837391,0.8645807988837391,1.2169292096620636,1.267339044591058,4.369253659527974,0.07822995344533212,0.07822995344533212,40.45172747143832,20.11261481544315,39.724304731622645,42.78451624771437,25.67070974862862,14.053594982994024,2.810718996598805,0.0,1.5301057580458632,8.556903249542875,35.95747381191035,43.059388426847256,25.835633056108353,10.121840755801994,2.024368151160398,-8.881784197001252e-16,3.550957307468458,8.611877685369452,0.8645807988837391,TIS 3,0.99389,0.99389,0.00705,0.0
2.01618206381805,0.017163158939830607,2.0,1.2367843015660744,0.22047555347932496,20.661428004793436,1203.8243121343114,2.068066333655872,34.69812700281482,37.49450975419723,41.49450975419723,37.49450975419723,-1.719560780335779,-1.719560780335779,0.016825966407987163,1.5464613750082696,0.599324168743972,0.865710531252198,0.865710531252198,1.0827974229104003,1.131406892592415,4.249504678675114,0.08586789137606678,0.08586789137606678,37.619509754197225,19.395749471004525,36.89518558545326,39.94804837918896,23.968829027513376,12.926356557939886,2.5852713115879773,0.0,1.5264313968678511,7.989609675837793,33.245005075522116,40.363102861604816,24.21786171696289,9.027143358559226,1.805428671711846,6.661338147750939e-16,3.55904889304135,8.072620572320963,0.865710531252198,TIS 3,0.99428,0.99428,0.00653,0.0
