batch_size,ppo_epsilon,path_scale,population_rho,population_value,signal_sq,raw_risk,ppo_risk,risk_ratio,raw_bias_sq,ppo_bias_sq,raw_variance,ppo_variance
4,0.05,1.375,0.30221140117355516,0.9001544602383509,8.278753706271249e-05,0.1911139212184143,0.01041117289606884,0.05447626645769276,4.042211774668043e-35,8.112477027736832e-05,0.7644556848736572,0.04132019250316589
4,0.05,1.4000000000000001,0.3008745996369559,0.90204738862244,7.67571304226279e-05,0.18769748567246808,0.010610365714935129,0.05652907750426772,2.837566624365021e-35,7.531677107813054e-05,0.7507899426898723,0.04214019577542799
4,0.05,1.425,0.2996032016426825,0.9038485615260176,7.149404924984231e-05,0.1844082596860001,0.01072234267575133,0.05814459012849383,2.9855625284141017e-35,6.966151734571731e-05,0.7376330387440004,0.04261072463362245
4,0.05,1.4500000000000002,0.29839294277466893,0.9055634476097195,6.690501054571472e-05,0.18123914442808028,0.01051237122936807,0.058002763489868554,1.6294772865383566e-35,6.391463719031426e-05,0.7249565777123211,0.04179382636871102
4,0.05,1.475,0.2972398923768713,0.907197146637455,6.290809417537277e-05,0.17818353942524257,0.010693764271290209,0.060015444219957303,3.34331770415919e-35,5.920205008064872e-05,0.7127341577009703,0.04253824888483824
4,0.05,1.5,0.29614042372039884,0.9087544159719948,5.9431319709986886e-05,0.1752353041827619,0.010683027111606984,0.060963897437385714,2.8112801931354006e-35,5.498480406314167e-05,0.7009412167310476,0.04251216923017537
4,0.05,1.5250000000000001,0.2950911871324884,0.910239695176485,5.6411407592674814e-05,0.1723887226257553,0.01050135904583535,0.06091674029416133,1.8857149954935616e-35,5.121389111455281e-05,0.6895548905030212,0.041800580618883185
4,0.05,1.55,0.2940890857668964,0.9116571288397554,5.3792700102174695e-05,0.16963847022112405,0.010421251399034355,0.0614321231820249,3.417906430774138e-35,4.770279592581828e-05,0.6785538808844962,0.04149419441243415
4,0.05,1.5750000000000002,0.29313125373242815,0.9130105877402573,5.1526220880620856e-05,0.16697958362979665,0.010184222335893183,0.060990823635494205,2.6158683186011257e-35,4.4495919848327336e-05,0.6679183345191866,0.04055890566417942
4,0.05,1.6,0.2922150363289364,0.9143036884594661,4.9568854654627e-05,0.16440743273320443,0.010134918385750515,0.061645134999444726,2.113655972956736e-35,4.1886622593024294e-05,0.6576297309328177,0.040372127052629964
4,0.05,1.625,0.2913379721687769,0.9155398115508903,4.788263126203002e-05,0.16191769487688124,0.00996301691142814,0.06153136579052589,1.663044634847867e-35,3.9628565801695746e-05,0.6476707795075249,0.039693553382505777
4,0.05,1.6500000000000001,0.2904977769868871,0.916722118365733,4.643410024628181e-05,0.15950633117632762,0.009737609906350994,0.06104842255813953,3.113011019646784e-35,3.777172299979982e-05,0.6380253247053105,0.03879935273340478
4,0.05,1.675,0.289692328964818,0.9178535666308724,4.5193784138716563e-05,0.15716956473486374,0.009818994741730588,0.062473894091993463,3.5783579078477753e-35,3.59676811749446e-05,0.628678258939455,0.039132108242222574
