checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
17.0,0.0,4.0,5.0,3.0,test,0.12514345133179386,4.0,512.0,100.0,0.09144504160258742,0.024633434187989797,0.0033243031261867236,0.0035706374680666217,0.0008229828803624617,0.022861260400646854,0.009482661673184173,0.01337859872746268,58.52082734285349,1.0
17.0,0.0,4.0,5.0,3.0,test,0.12514345133179386,8.0,1024.0,100.0,0.09144504160258742,0.024633434187989797,0.0033243031261867236,0.0035706374680666217,0.0008229828803624617,0.011430630200323427,0.006403482399685448,0.005027147800637979,43.97962065552376,1.0
18.0,0.0,7.0,5.0,3.0,test,0.11008615748349813,1.0,128.0,100.0,0.041056307457319495,0.017590730241180144,0.004601663587269273,0.0047775708896810746,0.00036675827481526,0.041056307457319495,0.022192393828449418,0.018863913628870077,45.946444766081925,1.0
18.0,0.0,7.0,5.0,3.0,test,0.11008615748349813,2.0,256.0,100.0,0.041056307457319495,0.017590730241180144,0.004601663587269273,0.0047775708896810746,0.00036675827481526,0.020528153728659747,0.013397028707859346,0.007131125020800402,34.73826782018152,1.0
18.0,0.0,7.0,5.0,3.0,test,0.11008615748349813,4.0,512.0,100.0,0.041056307457319495,0.017590730241180144,0.004601663587269273,0.0047775708896810746,0.00036675827481526,0.010264076864329874,0.00899934614756431,0.001264730716765564,12.3219139283807,1.0
18.0,0.0,7.0,5.0,3.0,test,0.11008615748349813,8.0,1024.0,100.0,0.041056307457319495,0.017590730241180144,0.004601663587269273,0.0047775708896810746,0.00036675827481526,0.005132038432164937,0.006800504867416791,-0.001668466435251854,-32.51079385522092,0.0
19.0,3.0,5.0,8.0,3.0,fit,0.12240212159958949,1.0,128.0,100.0,0.05911604015903167,0.04045431948826527,0.004829148381998765,0.005233691576881418,0.0004902828610184078,0.05911604015903167,0.045283467870264035,0.013832572288767636,23.39901700377053,1.0
19.0,3.0,5.0,8.0,3.0,fit,0.12240212159958949,2.0,256.0,100.0,0.05911604015903167,0.04045431948826527,0.004829148381998765,0.005233691576881418,0.0004902828610184078,0.029558020079515836,0.0250563081261314,0.004501711953384436,15.230086255013378,1.0
19.0,3.0,5.0,8.0,3.0,fit,0.12240212159958949,4.0,512.0,100.0,0.05911604015903167,0.04045431948826527,0.004829148381998765,0.005233691576881418,0.0004902828610184078,0.014779010039757918,0.014942728254065084,-0.00016371821430716596,-1.107775242500936,0.0
19.0,3.0,5.0,8.0,3.0,fit,0.12240212159958949,8.0,1024.0,100.0,0.05911604015903167,0.04045431948826527,0.004829148381998765,0.005233691576881418,0.0004902828610184078,0.007389505019878959,0.009885938318031924,-0.002496433298152965,-33.78349823752954,0.0
