checkpoint_id,replication,rollout_batch,minibatch,selection_bin,minibatches_per_estimator,sequences_per_diagnostic,population_sequence_ess,training_sample_ess,mean_diagnostic_sample_ess,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,ppo_mse_reduction_pct,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,diagnostic_draws
21.0,9.0,2.0,14.0,3.0,1.0,128.0,0.1349968465096469,0.265587017253916,0.2839142278545268,0.03634802762442242,0.03015159294823272,0.006196434676189702,17.04751283953104,0.2414057334915126,0.8279544012362327,0.58654866774472,32.0
21.0,9.0,2.0,14.0,3.0,4.0,512.0,0.1349968465096469,0.265587017253916,0.23786807060182014,0.009090530462278298,0.008868342791874859,0.00022218767040343995,2.4441661718798593,3.121617877921654,3.5513424047848954,0.4297245268632409,32.0
22.0,10.0,2.0,8.0,3.0,1.0,128.0,0.13887917325921986,0.4392345651597694,0.27613701059940143,0.03189926172924052,0.017412244890359578,0.014487016838880942,45.41489693976644,-0.6142421738305255,-0.9471368783059286,-0.3328947044754032,32.0
22.0,10.0,2.0,8.0,3.0,4.0,512.0,0.13887917325921986,0.4392345651597694,0.20257298213069153,0.01216617598850677,0.01080207431796006,0.0013641016705467103,11.212246739118024,2.2447433028185677,0.8670134159364393,-1.3777298868821282,32.0
23.0,14.0,5.0,15.0,3.0,1.0,128.0,0.16475572216682524,0.28335863993209537,0.3720793741615067,0.04701004145820281,0.039428031109699044,0.007582010348503767,16.128491091089597,-0.25029615713309994,0.08388611808405788,0.3341822752171578,32.0
23.0,14.0,5.0,15.0,3.0,4.0,512.0,0.16475572216682524,0.28335863993209537,0.2777559303344053,0.012880225092775092,0.013004382003185468,-0.00012415691041037675,-0.9639343219243902,3.805222240480724,3.438586931104146,-0.3666353093765776,32.0
24.0,18.0,1.0,14.0,3.0,1.0,128.0,0.10683216537150085,0.2963597962122369,0.23407627386916613,0.051783911057897467,0.048502498972904644,0.003281412084992824,6.336740539593489,10.282986546408049,6.1775018026767174,-4.105484743731331,32.0
24.0,18.0,1.0,14.0,3.0,4.0,512.0,0.10683216537150085,0.2963597962122369,0.18677534329471857,0.007071549954328262,0.007696775380644389,-0.0006252254263161263,-8.841419920019746,15.348889284764068,12.504554049673118,-2.8443352350909485,32.0
25.0,2.0,3.0,11.0,4.0,1.0,128.0,0.20017057301286428,0.22404105695550552,0.37927084817995393,0.01785202873106001,0.013972786215948716,0.003879242515111292,21.72998135703175,1.3118146612355912,1.1712936598979478,-0.1405210013376435,32.0
25.0,2.0,3.0,11.0,4.0,4.0,512.0,0.20017057301286428,0.22404105695550552,0.3058684415710021,0.0042113468501269275,0.003138214246657688,0.0010731326034692395,25.48193349205839,2.316685985184436,2.0739680029482743,-0.2427179822361613,32.0
26.0,4.0,1.0,10.0,4.0,1.0,128.0,0.3031793239093131,0.12612881574080165,0.4056364861981532,0.02452015970753681,0.013346261422940781,0.011173898284596029,45.570250837972665,1.3246986416357431,-1.1393469851735472,-2.4640456268092903,32.0
26.0,4.0,1.0,10.0,4.0,4.0,512.0,0.3031793239093131,0.12612881574080165,0.3958266593663461,0.0043751700492679225,0.0035709868583575326,0.0008041831909103895,18.380615652755022,3.4802965455798467,0.39024562783608563,-3.0900509177437607,32.0
27.0,8.0,1.0,16.0,4.0,1.0,128.0,0.36522280607438,0.44358199302716234,0.45579756810762817,0.027708648577883216,0.015581056196587926,0.012127592381295288,43.76825649654895,1.7740148601803873,0.8814345429317147,-0.8925803172486727,32.0
27.0,8.0,1.0,16.0,4.0,4.0,512.0,0.36522280607438,0.44358199302716234,0.3932569452605301,0.005216046421856127,0.006188400932091552,-0.000972354510235425,-18.641600008793887,4.112581199080479,2.70739925623752,-1.4051819428429582,32.0
28.0,11.0,2.0,7.0,4.0,1.0,128.0,0.20552904127726604,0.4805052107650809,0.3646209443376124,0.029608458040002998,0.02465213338265541,0.004956324657347584,16.739556820727575,2.1793456197878083,3.3767114730724193,1.1973658532846105,32.0
28.0,11.0,2.0,7.0,4.0,4.0,512.0,0.20552904127726604,0.4805052107650809,0.27455543821930495,0.008704937481288479,0.009385298864377622,-0.0006803613830891425,-7.815810102618192,6.1573713777202705,6.7943885461026134,0.6370171683823438,32.0
29.0,14.0,1.0,8.0,4.0,1.0,128.0,0.30687556346184414,0.3959448966380055,0.3668190546512745,0.023042252435400697,0.011422721892113897,0.011619530543286802,50.427060357325445,1.997113949417106,-0.4799121032212836,-2.477026052638389,32.0
