checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
11.0,2.0,1.0,128.0,0.07322635077569153,Fixed ESS 0.1,1.0,1.0,0.0022654029495687363,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,Raw,0.0,0.0,0.08924143092612087,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,PPO masked,1.0,1.0,0.002300347931317823,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,Formula oracle,1.0,1.0,0.002300347931317823,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,Fitted ESS,1.0,1.0,0.002300347931317823,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,Effective-count transfer,1.0,1.0,0.002300347931317823,100.0
11.0,2.0,2.0,256.0,0.07322635077569153,Fixed ESS 0.1,1.0,1.0,0.002300347931317823,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,Raw,0.0,0.0,0.03102459192762492,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,PPO masked,1.0,1.0,0.002226585205611104,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,Formula oracle,1.0,1.0,0.002226585205611104,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,Fitted ESS,1.0,1.0,0.002226585205611104,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,Effective-count transfer,1.0,1.0,0.002226585205611104,100.0
11.0,2.0,4.0,512.0,0.07322635077569153,Fixed ESS 0.1,1.0,1.0,0.002226585205611104,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,Raw,0.0,0.0,0.01054796155577496,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,PPO masked,1.0,1.0,0.0022030627053590424,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,Formula oracle,1.0,1.0,0.0022030627053590424,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,Fitted ESS,0.0,0.0,0.01054796155577496,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,Effective-count transfer,1.0,1.0,0.0022030627053590424,100.0
11.0,2.0,8.0,1024.0,0.07322635077569153,Fixed ESS 0.1,1.0,1.0,0.0022030627053590424,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,Raw,0.0,0.0,0.04066401305380097,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,PPO masked,1.0,1.0,0.030236173220982137,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,Formula oracle,1.0,1.0,0.030236173220982137,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,Fitted ESS,1.0,1.0,0.030236173220982137,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,Effective-count transfer,1.0,1.0,0.030236173220982137,100.0
14.0,2.0,1.0,128.0,0.07455823162848335,Fixed ESS 0.1,1.0,1.0,0.030236173220982137,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,Raw,0.0,0.0,0.023221205991107552,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,PPO masked,1.0,1.0,0.019886924030372736,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,Formula oracle,1.0,1.0,0.019886924030372736,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,Fitted ESS,1.0,1.0,0.019886924030372736,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,Effective-count transfer,1.0,1.0,0.019886924030372736,100.0
14.0,2.0,2.0,256.0,0.07455823162848335,Fixed ESS 0.1,1.0,1.0,0.019886924030372736,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,Raw,0.0,0.0,0.014535177384767868,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,PPO masked,1.0,1.0,0.011515882378584268,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,Formula oracle,1.0,1.0,0.011515882378584268,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,Fitted ESS,1.0,1.0,0.011515882378584268,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,Effective-count transfer,1.0,1.0,0.011515882378584268,100.0
14.0,2.0,4.0,512.0,0.07455823162848335,Fixed ESS 0.1,1.0,1.0,0.011515882378584268,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,Raw,0.0,1.0,0.006514030728466229,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,PPO masked,1.0,0.0,0.006862744211456054,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,Formula oracle,0.0,1.0,0.006514030728466229,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,Fitted ESS,0.0,1.0,0.006514030728466229,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,Effective-count transfer,1.0,0.0,0.006862744211456054,100.0
14.0,2.0,8.0,1024.0,0.07455823162848335,Fixed ESS 0.1,1.0,0.0,0.006862744211456054,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,Raw,0.0,0.0,0.03107952068802224,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,PPO masked,1.0,1.0,0.020711549413301004,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,Formula oracle,1.0,1.0,0.020711549413301004,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,Fitted ESS,1.0,1.0,0.020711549413301004,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,Effective-count transfer,1.0,1.0,0.020711549413301004,100.0
15.0,2.0,1.0,128.0,0.04266423924961842,Fixed ESS 0.1,1.0,1.0,0.020711549413301004,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,Raw,0.0,0.0,0.014507990415797771,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,PPO masked,1.0,1.0,0.010797657641946332,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,Formula oracle,1.0,1.0,0.010797657641946332,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,Fitted ESS,1.0,1.0,0.010797657641946332,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,Effective-count transfer,1.0,1.0,0.010797657641946332,100.0
15.0,2.0,2.0,256.0,0.04266423924961842,Fixed ESS 0.1,1.0,1.0,0.010797657641946332,100.0
15.0,2.0,4.0,512.0,0.04266423924961842,Raw,0.0,0.0,0.006849467329356616,100.0
15.0,2.0,4.0,512.0,0.04266423924961842,PPO masked,1.0,1.0,0.005606841596650456,100.0
