initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,raw_peak_drop,transition_visible,score
1.05,16,1,239,0.1,0.1723701304874997,0.8423815621934049,0.8469934667399526,0.8469532314653921,4.0235274560429524e-05,-0.00019601858521589577,40,-1,0.989454643589343,15.831274297429488,0.9954882933645786,0.0,0.0,-0.019601858521589577
1.0,16,1,239,0.1,0.1723701304874997,0.8321805320630867,0.8377388534135527,0.837325412118056,0.00041344129549669706,-0.00020899876280700003,20,-1,0.9889378978799647,15.823006366079435,0.9954574299521172,0.0,0.0,-0.020899876280700003
1.0,16,2,478,0.1,0.1723701304874997,0.8321805320630867,0.8430755792864882,0.8421972039645628,0.0008783753219254731,-0.00020899876280700003,20,-1,0.987934733919297,15.806955742708752,0.9954574299521172,0.0,0.0,-0.020899876280700003
1.2,8,2,956,0.14,0.1723701304874997,0.8656612919933122,0.8732819106588486,0.8734761266210921,-0.00019421596224344917,-0.0004034814347161353,20,900,0.964401463269347,7.715211706154776,0.9882054746199941,0.0,0.0,-0.020926547247268612
1.1,8,2,956,0.1,0.1723701304874997,0.8512308550922029,0.8614330754507336,0.8606655076579244,0.0007675677928091762,-0.0002412364857709015,120,-1,0.9697303346594058,7.757842677275247,0.9914226080041116,0.0003311755646724368,0.0,-0.02412364857709015
1.15,8,2,956,0.14,0.1723701304874997,0.8589333429753235,0.8686234252074566,0.8682538219857026,0.0003696032217540557,-0.0002510466983343118,20,-1,0.9616430630937582,7.693144504750066,0.9874895470130657,0.000985342790380317,0.0,-0.02510466983343118
1.15,4,2,1912,0.1,0.1723701304874997,0.8589333429753235,0.8711531366092491,0.8707817674040912,0.00037136920515790095,-0.00025177744291193793,20,-1,0.9289301759570086,3.715720703828034,0.978294481942622,0.0012742380386583374,0.0,-0.025177744291193793
1.2,8,2,956,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.8741552865158851,0.8744788326820684,-0.0003235461661832417,-0.0006400435817018879,20,900,0.9550251886697476,7.640201509357981,0.9849180651954941,0.0,0.0,-0.03164974155186462
1.2,16,1,239,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.8679276978521546,0.8681244762335905,-0.00019677838143583593,-0.0005261608484383729,20,40,0.9856354738535252,15.770167581656404,0.9940076968837646,0.0,0.0,-0.03293824670025369
1.1,8,2,956,0.14,0.1723701304874997,0.8512308550922029,0.8645814425520634,0.8631349822262353,0.0014464603258280695,-0.0003310716863921259,120,-1,0.9501263378480422,7.601010702784338,0.9880867607418675,0.0003620904932466473,0.0,-0.03310716863921259
1.05,8,2,956,0.1689227278777497,0.1723701304874997,0.8423815621934049,0.8629126016903838,0.85897290905458,0.003939692635803738,-0.0003472436266916956,120,-1,0.9467717938198739,7.574174350558991,0.982836428923536,0.0,0.0,-0.03472436266916956
1.0,16,2,478,0.1689227278777497,0.1723701304874997,0.8321805320630867,0.8486798870997738,0.8460646742405853,0.0026152128591885315,-0.00035140709113268276,60,-1,0.9806628119694603,15.690604991511364,0.9925754510182612,0.0,0.0,-0.035140709113268276
1.1,4,1,956,0.14,0.1723701304874997,0.8512308550922029,0.8600531332444499,0.8622418220853525,-0.0021886888409026195,-0.0025758611578495794,20,40,0.8170590255848389,3.2682361023393556,0.9596433585051367,0.0009345554425441716,0.0,-0.038717231694695986
1.05,16,1,239,0.14,0.1723701304874997,0.8423815621934049,0.84847874219494,0.8482462211869486,0.0002325210079914264,-0.00039043196529375823,40,-1,0.9855252767448439,15.768404427917503,0.9948749726491585,0.0,0.0,-0.03904319652937582
1.25,4,2,1912,0.1,0.1723701304874997,0.8715592486144839,0.879254270457871,0.8798116347155709,-0.0005573642576999216,-0.0009539967630921575,20,1740,0.945685279568597,3.782741118274388,0.9819946940800783,0.0,0.0,-0.03966325053922359
1.15,16,1,239,0.1689227278777497,0.1723701304874997,0.8589333429753235,0.8620637454916478,0.8623943246200166,-0.0003305791283688686,-0.0007348413572465518,40,60,0.9831427790156612,15.730284464250579,0.993491435757347,0.0,0.0,-0.040426222887768315
1.0,16,2,478,0.14,0.1723701304874997,0.8321805320630867,0.8464587973802461,0.844686677431644,0.0017721199486020467,-0.000407134349008631,60,-1,0.9839414477166711,15.743063163466738,0.9936788791066545,0.0,0.0,-0.0407134349008631
